age	weight	height	gender	married	number_of_kids	pet	expenses
37	35.3	146.32	other	FALSE	0	ferret	584.337362336549
28	48.1	162.36	man	FALSE	1	dog	-262.089636709575
49	46.5	148.99	man	FALSE	2	ferret	978.604850493095
26	64.3	178.35	woman	FALSE	1	none	-451.617744317687
42	61.9	151.88	other	FALSE	2	ferret	331.766025479047
38	70.6	177.82	man	FALSE	2	cat	195.692992457612
34	76.3	182.36	woman	FALSE	2	ferret	445.346410844537
39	78.8	190.99	woman	TRUE	0	dog	257.382912970561
36	86.8	192.41	woman	TRUE	2	cat	-80.2409731791262
33	79.7	194.26	woman	TRUE	5	none	160.362133589397
46	67.6	177.22	man	FALSE	1	none	645.904081251839
52	61.4	153.7	woman	TRUE	0	dog	967.730659842242
36	46.4	129.6	woman	TRUE	0	cat	265.317609335673
51	61.2	165.25	woman	FALSE	1	cat	1000.4364650963
39	70.1	173.89	man	FALSE	2	ferret	919.279119195231
37	91.8	177.15	woman	TRUE	3	none	388.376681529826
30	67	172.21	man	TRUE	4	cat	-123.528715840276
34	64.3	176.49	man	TRUE	5	none	-273.256370607076
52	61.8	164.64	man	FALSE	2	none	1077.84154687649
31	56.8	172.11	woman	FALSE	0	none	131.85893476055
50	88.6	187.18	man	FALSE	1	cat	1314.65787328186
53	74.9	175.68	woman	FALSE	0	none	1340.54175513289
31	52.4	135.75	woman	FALSE	3	cat	-282.974908690886
28	92.8	201.36	man	TRUE	3	cat	145.451879122847
32	37.5	135.32	woman	FALSE	2	hedgehog	244.560574165566
39	79.3	167.14	woman	FALSE	0	cat	255.521483408203
67	56.2	172.06	man	FALSE	4	dog	2099.97873733759
60	64.4	184.87	woman	FALSE	0	none	1749.13342367211
48	62.5	184.22	woman	FALSE	1	hedgehog	820.309116490849
40	64.6	158.79	woman	FALSE	0	dog	144.147771252539
23	65.6	170.76	woman	FALSE	1	dog	-556.833645122216
40	64.7	171.11	woman	FALSE	0	none	152.196365409181
32	75.6	187.11	woman	FALSE	0	none	-142.676006880435
 
